Variabel;Display_navn;Type;Kategori;Beskrivelse;Kilde;Kilde_url;Tabell;Enhet;Frekvens;Startaar;Sluttaar;Funksjon;Kommentar;Omraade;Analyse_type
HICP;Harmonisert konsumprisindeks;Original;Priser og inflasjon;Harmonisert konsumprisindeks for alle varer og tjenester.;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_aind/default/table?lang=en;prc_hicp_aind;Indeks (2015=100);Årlig;1996;2025;get_hicp;HICP, totalindeks. unit = INX_A_AVG, coicop = CP00.;Internasjonal;indeks
Befolkning;Befolkning;Original;Demografi;Befolkning 1. januar;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/demo_pjan/default/table?lang=en;demo_pjan;Personer;Årlig;1960;2025;get_population;Befolkning 1. januar. sex = T, age = TOTAL.;Internasjonal;nivå
Arbeidsledighetsrate;Arbeidsledighetsrate;Original;Arbeidsmarked;Arbeidsledige som andel av arbeidsstyrken, 15–74 år.;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/une_rt_a/default/table?lang=en;une_rt_a;Prosent;Årlig;2003;2025;get_unemployment;Arbeidsledige som andel av arbeidsstyrken. sex = T, age = Y15-74, unit = PC_ACT.;Internasjonal;rate
BNP_lopende;BNP løpende;Original;Nasjonalregnskap;Bruttonasjonalprodukt, løpende priser;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, lxpende priser;Årlig;1975;2025;get_gdp;BNP i lxpende priser. unit = CP_MEUR, na_item = B1G.;Internasjonal;nivå
BNP_faste_priser;BNP faste priser;Original;Nasjonalregnskap;Bruttonasjonalprodukt i kjedevolum med referanseår 2020.;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_gdp/default/table?lang=en;nama_10_gdp;Millioner euro, kjedevolum med referanseer 2020;Årlig;1975;2025;get_gdp_constant;BNP i faste priser. unit = CLV20_MEUR, na_item = B1G.;Internasjonal;nivå
Industriproduksjon;Industriproduksjon;Original;Produksjon og aktivitet;Produksjonsindeks for industrien (2021=100);Eurostat;https://ec.europa.eu/eurostat/databrowser/view/sts_inpr_a/default/table?lang=en;sts_inpr_a;Indeks (2015=100);Årlig;1990;2023;get_industrial_production;Industriproduksjon, kalenderjustert. indic_bt = PRD, nace_r2 = C, s_adj = CA, unit = I15.;Internasjonal;indeks
Sysselsatte;Sysselsatte;Original;Arbeidsmarked;Sysselsatte personer, 15-74 år;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/nama_10_pe/default/table?lang=en;nama_10_pe;Personer;Årlig;1975;2025;get_employment;Sysselsetting etter innenlandsk konsept. unit = THS_PER, na_item = EMP_DC. Multiplisert med 1000.;Internasjonal;nivå
Arbeidsstyrke;Arbeidsstyrke;Original;Arbeidsmarked;Personer i arbeidsstyrken, 15-74 år;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/lfsi_emp_a/default/table?lang=en;lfsi_emp_a;Personer;Årlig;2003;2025;get_labour_force;Arbeidsstyrke 15-64 er. indic_em = ACT, sex = T, age = Y15-64, unit = THS_PER. Multiplisert med 1000.;Internasjonal;nivå
Offentlig_gjeld_andel_BNP;Offentlig gjeld som andel av BNP;Beregnet;Offentlige finanser;Offentlig gjeld som andel av BNP;Eurostat;https://ec.europa.eu/eurostat/databrowser/view/gov_10dd_edpt1/default/table?lang=en;gov_10dd_edpt1;Prosent av BNP;Årlig;1995;2025;get_government_debt;Offentlig bruttogjeld etter Maastricht-definisjonen. unit = PC_GDP, sector = S13, na_item = GD.;Internasjonal;rate
Boligprisindeks;Boligprisindeks;Original;Boligmarked;Prisindeks for brukte boliger, hele landet, alle boligtyper (2015=100);Eurostat;https://ec.europa.eu/eurostat/databrowser/view/prc_hpi_a/default/table?lang=en;prc_hpi_a;Indeks (2015=100);Årlig;2005;2025;get_house_price_index;Samlet boligprisindeks. purchase = TOTAL, unit = I15_A_AVG.;Internasjonal;indeks
